indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,24166.8,-159.85,-0.66,24233.65,24253.8,24138.4,24326.65,26373.2,22182.55,21.16,3.33,1.28,30,20,-0.44,0.71
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,71536.35,-316.55,-0.44,71776.4,71889.6,71452.6,71852.9,72037.6,59896.1,20.14,3.83,1.39,37,13,13.98,8.15
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,55426.3,-621.1,-1.11,55783.95,55797.7,55368.5,56047.4,61764.85,49954.85,14.14,1.91,1.05,11,3,1.95,-0.5
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26107.25,-342.25,-1.29,26344.35,26353.15,26087.2,26449.5,28562.5,23373.95,17.11,2.84,0.86,18,2,0.49,0.21
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14491.65,-59.8,-0.41,14547.5,14590.6,14459.55,14551.45,14577.2,5520.25,32.35,4.95,0.61,14,11,20.93,9.62
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25163.2,-156.3,-0.62,25235.7,25247.15,25133.95,25319.5,26975.15,22720.45,20.96,3.41,1.3,67,33,1.97,2.01
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13916.5,-75.4,-0.54,13956.25,13962.9,13900.15,13991.9,14700.95,12396.1,22.84,3.63,1.18,126,74,4.43,3.3
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23115.15,-98.85,-0.43,23166.05,23185.65,23080.3,23214.0,24144.2,20385.65,23.65,3.67,1.11,285,214,5.82,4.42
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17622.5,4.95,0.03,17636.55,17686.3,17555.45,17617.55,17644.1,14783.9,34.76,4.8,0.6,24,26,16.71,8.71
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,61868.9,-134.25,-0.22,62039.15,62113.85,61766.35,62003.15,62094.4,52032.85,36.11,4.89,0.66,59,41,16.23,8.93
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,18765.35,69.7,0.37,18714.4,18795.8,18669.1,18695.65,19224.95,14986.0,31.74,3.65,0.64,53,47,15.95,13.47
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,17.11,0.49,2.96,16.62,17.43,16.16,16.62,28.91,8.72,0,0,0,,,-18.56,-13.15
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,22766.65,-38.3,-0.17,22824.5,22846.7,22728.0,22804.95,22836.9,19165.1,34.17,4.88,0.7,89,61,16.2,8.88
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,9184.75,16.15,0.18,9179.95,9208.25,9148.15,9168.6,9282.7,7338.35,29.65,3.47,0.66,27,23,17.77,13.69
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,17467.1,58.1,0.33,17416.4,17506.4,17389.95,17409.0,18077.35,14143.45,31.26,3.68,0.68,129,120,15.06,12.81
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,20825.9,0.3,0.0,20840.4,20886.3,20777.25,20825.6,20855.45,17390.85,33.13,4.39,0.69,218,181,15.75,10.18
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,16299.4,-40.75,-0.25,16319.65,16346.9,16267.95,16340.15,17112.15,5531.55,25.76,3.77,0.98,285,214,8.81,6.45
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16554.55,-64.15,-0.39,16599.35,16608.6,16531.0,16618.7,17095.2,5635.2,26.17,4.04,0.99,156,94,8.95,5.45
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,13018.85,-52.65,-0.4,13046.3,13059.0,12998.5,13071.5,13842.6,6252.1,23.81,3.66,1.09,420,329,6.2,4.79
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,24058.0,34.55,0.14,24054.15,24153.85,23987.55,24023.45,26476.9,5802.95,28.49,3.41,0.64,135,115,15.85,14.44
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,18160.5,-24.3,-0.13,18173.8,18212.25,18120.95,18184.8,18838.1,14014.4,27.75,3.9,0.88,285,214,11.11,7.93
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1557.85,-6.75,-0.43,1560.9,1562.55,1554.95,1564.6,1641.4,1346.5,23.7,3.79,1.19,92,58,0.0,3.54
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,27272.45,-67.5,-0.25,27244.8,27392.15,27082.6,27339.95,29179.1,22220.7,31.2,4.69,1.16,8,7,20.28,4.88
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,28583.75,-333.65,-1.15,28829.85,28845.0,28558.75,28917.4,0.0,0.0,16.91,2.95,0.96,18,2,3.57,0.8
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,51146.5,78.05,0.15,51107.55,51261.2,50756.85,51068.45,58485.05,45334.15,36.05,9,1.61,5,10,-8.7,7.22
SECTORAL INDICES,NIFTY IT,NIFTY IT,29346.15,302.65,1.04,29031.55,29359.55,28961.8,29043.5,40301.4,28288.05,19.73,5.38,3.7,2,8,-18.49,-7.03
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1478.6,6.4,0.43,1467.9,1481.65,1465.65,1472.2,1786.15,1245.05,30.92,1.55,1.19,5,5,-3.17,9.55
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,13060.5,-104.9,-0.8,13156.0,13167.15,13037.55,13165.4,13256.2,8256.2,22.82,3.45,1.55,11,4,54.96,8.13
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,24118.65,-16.85,-0.07,24043.45,24306.75,24030.65,24135.5,24268.1,20576.05,36.01,5.26,0.65,10,9,14.22,9.67
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,8527.1,-109.5,-1.27,8612.05,8613.55,8518.3,8636.6,9918.65,6062.0,8.41,1.4,2.26,12,0,38.24,-2.17
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,26441.15,-340.7,-1.27,26642.0,26649.25,26414.95,26781.85,29748.45,23957.45,17.6,2.13,0.6,8,2,-2.64,-1.07
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,824.65,-2.85,-0.34,827.35,828.1,820.2,827.5,1049.7,638.65,37.39,3.96,0.35,6,4,-2.27,10.58
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,15417.9,26.8,0.17,15340.3,15521.65,15324.85,15391.1,15456.25,6482.8,39.17,5.77,0.55,9,11,12.57,9.52
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,36756.6,-301.6,-0.81,37055.5,37081.15,36695.55,37058.2,44426.55,14089.55,58.41,12.11,0.38,11,2,1.11,2.3
